query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,has_twin_in_library
carnatic_t0000_q0,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0000_q0.wav,36.507,3.0,993916075,False
carnatic_t0000_q1,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0000_q1.wav,62.26,3.0,993916075,False
carnatic_t0000_q2,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0000_q2.wav,89.107,3.0,993916075,False
carnatic_t0000_q3,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0000_q3.wav,115.382,3.0,993916075,False
carnatic_t0000_q4,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0000_q4.wav,141.013,3.0,993916075,False
carnatic_t0001_q0,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0001_q0.wav,229.114,3.0,1942611635,False
carnatic_t0001_q1,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0001_q1.wav,447.35,3.0,1942611635,False
carnatic_t0001_q2,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0001_q2.wav,665.829,3.0,1942611635,False
carnatic_t0001_q3,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0001_q3.wav,884.72,3.0,1942611635,False
carnatic_t0001_q4,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0001_q4.wav,1103.016,3.0,1942611635,False
carnatic_t0002_q0,carnatic_112_Rama_Rama_Guna_Seema,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0002_q0.wav,606.809,3.0,2762103180,False
carnatic_t0002_q1,carnatic_112_Rama_Rama_Guna_Seema,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0002_q1.wav,1202.562,3.0,2762103180,False
carnatic_t0002_q2,carnatic_112_Rama_Rama_Guna_Seema,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0002_q2.wav,1798.914,3.0,2762103180,False
carnatic_t0002_q3,carnatic_112_Rama_Rama_Guna_Seema,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0002_q3.wav,2396.122,3.0,2762103180,False
carnatic_t0002_q4,carnatic_112_Rama_Rama_Guna_Seema,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0002_q4.wav,2991.736,3.0,2762103180,False
carnatic_t0003_q0,carnatic_116_Bhuvini_Dasudane,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0003_q0.wav,56.298,3.0,2186029143,False
carnatic_t0003_q1,carnatic_116_Bhuvini_Dasudane,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0003_q1.wav,102.648,3.0,2186029143,False
carnatic_t0003_q2,carnatic_116_Bhuvini_Dasudane,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0003_q2.wav,149.832,3.0,2186029143,False
carnatic_t0003_q3,carnatic_116_Bhuvini_Dasudane,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0003_q3.wav,196.438,3.0,2186029143,False
carnatic_t0003_q4,carnatic_116_Bhuvini_Dasudane,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0003_q4.wav,242.731,3.0,2186029143,False
carnatic_t0004_q0,carnatic_117_Karuna_Nidhi_Illalo,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0004_q0.wav,278.32,3.0,3532870500,False
carnatic_t0004_q1,carnatic_117_Karuna_Nidhi_Illalo,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0004_q1.wav,547.087,3.0,3532870500,False
carnatic_t0004_q2,carnatic_117_Karuna_Nidhi_Illalo,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0004_q2.wav,816.553,3.0,3532870500,False
carnatic_t0004_q3,carnatic_117_Karuna_Nidhi_Illalo,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0004_q3.wav,1084.747,3.0,3532870500,False
carnatic_t0004_q4,carnatic_117_Karuna_Nidhi_Illalo,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0004_q4.wav,1353.992,3.0,3532870500,False
carnatic_t0005_q0,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0005_q0.wav,20.284,3.0,4120799726,False
carnatic_t0005_q1,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0005_q1.wav,30.538,3.0,4120799726,False
carnatic_t0005_q2,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0005_q2.wav,41.621,3.0,4120799726,False
carnatic_t0005_q3,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0005_q3.wav,52.231,3.0,4120799726,False
carnatic_t0005_q4,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0005_q4.wav,61.96,3.0,4120799726,False
carnatic_t0006_q0,carnatic_120_Velum_Mayilume,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0006_q0.wav,127.769,3.0,3622669955,False
carnatic_t0006_q1,carnatic_120_Velum_Mayilume,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0006_q1.wav,244.764,3.0,3622669955,False
carnatic_t0006_q2,carnatic_120_Velum_Mayilume,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0006_q2.wav,362.562,3.0,3622669955,False
carnatic_t0006_q3,carnatic_120_Velum_Mayilume,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0006_q3.wav,479.866,3.0,3622669955,False
carnatic_t0006_q4,carnatic_120_Velum_Mayilume,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0006_q4.wav,596.556,3.0,3622669955,False
carnatic_t0007_q0,carnatic_130_Ghandhamu_Poyyaruga,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0007_q0.wav,43.678,3.0,2430829577,False
carnatic_t0007_q1,carnatic_130_Ghandhamu_Poyyaruga,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0007_q1.wav,76.933,3.0,2430829577,False
carnatic_t0007_q2,carnatic_130_Ghandhamu_Poyyaruga,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0007_q2.wav,110.989,3.0,2430829577,False
carnatic_t0007_q3,carnatic_130_Ghandhamu_Poyyaruga,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0007_q3.wav,144.165,3.0,2430829577,False
carnatic_t0007_q4,carnatic_130_Ghandhamu_Poyyaruga,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0007_q4.wav,178.073,3.0,2430829577,False
carnatic_t0008_q0,carnatic_131_Koluvaiyunnade,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0008_q0.wav,55.471,3.0,1087804539,False
carnatic_t0008_q1,carnatic_131_Koluvaiyunnade,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0008_q1.wav,100.405,3.0,1087804539,False
carnatic_t0008_q2,carnatic_131_Koluvaiyunnade,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0008_q2.wav,146.506,3.0,1087804539,False
carnatic_t0008_q3,carnatic_131_Koluvaiyunnade,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/carnatic/carnatic_t0008_q3.wav,191.795,3.0,1087804539,False
