query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,section_type,section_label,section_start,section_end,section_duration
carnatic_ab_100_Pavamaana_Suthudu_Pattu_s000_composed,carnatic_100_Pavamaana_Suthudu_Pattu,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_100_Pavamaana_Suthudu_Pattu_s000_composed.wav,24.431,10.0,1300684743,composed,Caraṇam,16.065,42.587,26.522
carnatic_ab_101_Maname_Kanamum_s000_composed,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_101_Maname_Kanamum_s000_composed.wav,11.911,10.0,1198233937,composed,Pallavi,0.25,33.53,33.28
carnatic_ab_101_Maname_Kanamum_s001_composed,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_101_Maname_Kanamum_s001_composed.wav,41.238,10.0,2445929631,composed,Caraṇam,33.53,58.648,25.118
carnatic_ab_101_Maname_Kanamum_s002_composed,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_101_Maname_Kanamum_s002_composed.wav,79.467,10.0,2947307545,composed,Caraṇam,58.648,110.469,51.821
carnatic_ab_101_Maname_Kanamum_s003_composed,carnatic_101_Maname_Kanamum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_101_Maname_Kanamum_s003_composed.wav,144.264,10.0,208715592,composed,Caraṇam,110.469,187.455,76.986
carnatic_ab_102_Ennadu_Jootuno_s000_alaap,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_102_Ennadu_Jootuno_s000_alaap.wav,143.759,10.0,3734677934,alaap,Vocal ālāp,0.116,297.053,296.937
carnatic_ab_102_Ennadu_Jootuno_s001_alaap,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_102_Ennadu_Jootuno_s001_alaap.wav,359.499,10.0,3964205129,alaap,Violin ālāp,297.053,431.891,134.838
carnatic_ab_102_Ennadu_Jootuno_s002_composed,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_102_Ennadu_Jootuno_s002_composed.wav,474.234,10.0,1046025894,composed,Pallavi,431.891,527.116,95.225
carnatic_ab_102_Ennadu_Jootuno_s003_composed,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_102_Ennadu_Jootuno_s003_composed.wav,584.863,10.0,3150825126,composed,Anupallavi,527.116,653.526,126.409
carnatic_ab_102_Ennadu_Jootuno_s004_composed,carnatic_102_Ennadu_Jootuno,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_102_Ennadu_Jootuno_s004_composed.wav,728.141,10.0,967789481,composed,Caraṇam,653.526,811.955,158.43
carnatic_ab_103_Paarengum_s000_composed,carnatic_103_Paarengum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_103_Paarengum_s000_composed.wav,36.548,10.0,401608558,composed,Pallavi,0.18,83.143,82.963
carnatic_ab_103_Paarengum_s001_composed,carnatic_103_Paarengum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_103_Paarengum_s001_composed.wav,124.324,10.0,3998224013,composed,Anupallavi,83.143,176.473,93.331
carnatic_ab_103_Paarengum_s002_composed,carnatic_103_Paarengum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_103_Paarengum_s002_composed.wav,258.993,10.0,3295308586,composed,Caraṇam,176.473,351.399,174.926
carnatic_ab_104_Saravanabhava_Enum_s000_composed,carnatic_104_Saravanabhava_Enum,carnatic,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/carnatic/ablation/carnatic_ab_104_Saravanabhava_Enum_s000_composed.wav,19.902,10.0,3521295645,composed,Anupallavi,0.226,49.534,49.308
