query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,has_twin_in_library
hindustani_t0000_q0,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0000_q0.wav,514.196,3.0,993916075,True
hindustani_t0000_q1,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0000_q1.wav,1017.639,3.0,993916075,True
hindustani_t0000_q2,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0000_q2.wav,1522.175,3.0,993916075,True
hindustani_t0000_q3,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0000_q3.wav,2026.139,3.0,993916075,True
hindustani_t0000_q4,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0000_q4.wav,2529.46,3.0,993916075,True
hindustani_t0001_q0,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0001_q0.wav,497.286,3.0,1942611635,True
hindustani_t0001_q1,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0001_q1.wav,983.695,3.0,1942611635,True
hindustani_t0001_q2,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0001_q2.wav,1470.346,3.0,1942611635,True
hindustani_t0001_q3,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0001_q3.wav,1957.409,3.0,1942611635,True
hindustani_t0001_q4,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_3s/hindustani/hindustani_t0001_q4.wav,2443.878,3.0,1942611635,True
