query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,has_twin_in_library
hindustani_t0000_q0,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0000_q0.wav,514.196,10.0,993916075,True
hindustani_t0000_q1,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0000_q1.wav,1017.639,10.0,993916075,True
hindustani_t0000_q2,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0000_q2.wav,1522.175,10.0,993916075,True
hindustani_t0000_q3,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0000_q3.wav,2026.139,10.0,993916075,True
hindustani_t0000_q4,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0000_q4.wav,2529.46,10.0,993916075,True
hindustani_t0001_q0,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0001_q0.wav,497.286,10.0,1942611635,True
hindustani_t0001_q1,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0001_q1.wav,983.695,10.0,1942611635,True
hindustani_t0001_q2,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0001_q2.wav,1470.346,10.0,1942611635,True
hindustani_t0001_q3,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0001_q3.wav,1957.409,10.0,1942611635,True
hindustani_t0001_q4,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0001_q4.wav,2443.878,10.0,1942611635,True
hindustani_t0002_q0,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0002_q0.wav,35.903,10.0,2762103180,False
hindustani_t0002_q1,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0002_q1.wav,60.75,10.0,2762103180,False
hindustani_t0002_q2,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0002_q2.wav,86.195,10.0,2762103180,False
hindustani_t0002_q3,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0002_q3.wav,112.497,10.0,2762103180,False
hindustani_t0002_q4,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0002_q4.wav,137.204,10.0,2762103180,False
hindustani_t0003_q0,hindustani_102_Introduction_about_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0003_q0.wav,39.811,10.0,2186029143,False
hindustani_t0003_q1,hindustani_102_Introduction_about_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0003_q1.wav,69.675,10.0,2186029143,False
hindustani_t0003_q2,hindustani_102_Introduction_about_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0003_q2.wav,100.373,10.0,2186029143,False
hindustani_t0003_q3,hindustani_102_Introduction_about_Ajoy_Chakrabarty,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries_44k/hindustani/hindustani_t0003_q3.wav,130.494,10.0,2186029143,False
