query_id,ref_id,corpus,audio_path,offset_sec,length_sec,seed,section_type,section_label,section_start,section_end,section_duration
hindustani_ab_0_Raag_Shree_s000_alaap,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_0_Raag_Shree_s000_alaap.wav,91.686,10.0,3512542780,alaap,Ālāp-1,0.0,192.392,192.392
hindustani_ab_0_Raag_Shree_s001_composed,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_0_Raag_Shree_s001_composed.wav,1348.583,10.0,2595537837,composed,Khyāl (vilambit ēktāl)-2,192.392,2513.92,2321.528
hindustani_ab_0_Raag_Shree_s002_composed,hindustani_0_Raag_Shree,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_0_Raag_Shree_s002_composed.wav,2778.522,10.0,4124344184,composed,Khyāl (dr̥t tīntāl)-3,2513.92,3120.196,606.276
hindustani_ab_100_Raga_Shree_-_Khayal_s000_alaap,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_100_Raga_Shree_-_Khayal_s000_alaap.wav,40.126,10.0,4140126455,alaap,Ālāp-1,0.0,89.291,89.291
hindustani_ab_100_Raga_Shree_-_Khayal_s001_composed,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_100_Raga_Shree_-_Khayal_s001_composed.wav,990.081,10.0,2802223095,composed,Khyāl (vilambit ēktāl)-2,89.291,1901.645,1812.354
hindustani_ab_100_Raga_Shree_-_Khayal_s002_composed,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_100_Raga_Shree_-_Khayal_s002_composed.wav,2317.957,10.0,2473254226,composed,Khyāl (madhya tīntāl)-3,1901.645,2743.442,841.797
hindustani_ab_100_Raga_Shree_-_Khayal_s003_composed,hindustani_100_Raga_Shree_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_100_Raga_Shree_-_Khayal_s003_composed.wav,2841.947,10.0,2307302781,composed,Khyāl (dr̥t tīntāl)-4,2743.442,2950.818,207.376
hindustani_ab_103_Thumri_in_Piloo_s000_alaap,hindustani_103_Thumri_in_Piloo,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_103_Thumri_in_Piloo_s000_alaap.wav,15.815,10.0,2262029491,alaap,Ālāp-1,0.0,40.96,40.96
hindustani_ab_103_Thumri_in_Piloo_s001_composed,hindustani_103_Thumri_in_Piloo,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_103_Thumri_in_Piloo_s001_composed.wav,303.476,10.0,662332167,composed,Ṭhumri (vilambit dīpacaṇḍī)-2,40.96,576.598,535.638
hindustani_ab_104_Raga_Lalit_-_Khayal_s000_alaap,hindustani_104_Raga_Lalit_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_104_Raga_Lalit_-_Khayal_s000_alaap.wav,72.112,10.0,3103370926,alaap,Ālāp-1,0.0,154.121,154.121
hindustani_ab_104_Raga_Lalit_-_Khayal_s001_composed,hindustani_104_Raga_Lalit_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_104_Raga_Lalit_-_Khayal_s001_composed.wav,1228.855,10.0,2503088322,composed,Khyāl (vilambit ēktāl)-2,154.121,2314.333,2160.212
hindustani_ab_104_Raga_Lalit_-_Khayal_s002_composed,hindustani_104_Raga_Lalit_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_104_Raga_Lalit_-_Khayal_s002_composed.wav,2822.832,10.0,2449190984,composed,Khyāl (madhya tīntāl)-3,2314.333,3340.751,1026.418
hindustani_ab_104_Raga_Lalit_-_Khayal_s003_composed,hindustani_104_Raga_Lalit_-_Khayal,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_104_Raga_Lalit_-_Khayal_s003_composed.wav,3473.449,10.0,3252773761,composed,Khyāl (dr̥t tīntāl)-4,3340.751,3617.019,276.268
hindustani_ab_105_Raag_Bhoopali_s000_alaap,hindustani_105_Raag_Bhoopali,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_105_Raag_Bhoopali_s000_alaap.wav,109.687,10.0,2186345637,alaap,Ālāp-1,0.0,229.257,229.257
hindustani_ab_105_Raag_Bhoopali_s001_composed,hindustani_105_Raag_Bhoopali,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_105_Raag_Bhoopali_s001_composed.wav,1377.676,10.0,2714455975,composed,Khyāl (vilambit ēktāl)-2,229.257,2536.792,2307.535
hindustani_ab_105_Raag_Bhoopali_s002_composed,hindustani_105_Raag_Bhoopali,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_105_Raag_Bhoopali_s002_composed.wav,2936.921,10.0,1781055939,composed,Khyāl (dr̥t tīntāl)-3,2536.792,3346.625,809.833
hindustani_ab_106_Raag_Gavti_s000_alaap,hindustani_106_Raag_Gavti,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_106_Raag_Gavti_s000_alaap.wav,90.799,10.0,2903342208,alaap,Ālāp-1,0.0,191.804,191.804
hindustani_ab_106_Raag_Gavti_s001_composed,hindustani_106_Raag_Gavti,hindustani,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/queries/hindustani/ablation/hindustani_ab_106_Raag_Gavti_s001_composed.wav,737.601,10.0,325123769,composed,Khyāl (madhya rūpak)-2,191.804,1292.968,1101.164
