cell,variant,n,hits,hr@1,hr@1_ci_lo,hr@1_ci_hi,n_miss,n_miss_sa,mc_b,mc_c,mc_delta_hits,mc_p,bonferroni_sig
main_1s,alpha_0.00,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,14,0,0,0,1.0,False
main_1s,alpha_0.05,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,14,0,0,0,1.0,False
main_1s,alpha_0.10,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,14,0,0,0,1.0,False
main_1s,alpha_0.15,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,14,0,0,0,1.0,False
main_1s,alpha_0.20,1000,984,0.984,0.9741677180358003,0.9901278441325737,16,13,0,1,1,1.0,False
main_1s,alpha_0.25,1000,984,0.984,0.9741677180358003,0.9901278441325737,16,13,0,1,1,1.0,False
main_1s,alpha_0.30,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,13,1,1,0,1.0,False
main_1s,control_shuffled,1000,983,0.983,0.9729438156287651,0.9893594003367818,17,14,0,0,0,1.0,False
main_1s,control_isotropic,1000,985,0.985,0.9753988052083976,0.9908891031628037,15,12,0,2,2,0.5,False
main_3s,alpha_0.00,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.05,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.10,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.15,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.20,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.25,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,alpha_0.30,1000,998,0.998,0.9927370411104123,0.9994513678975429,2,2,0,0,0,1.0,False
main_3s,control_shuffled,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,1,1,1.0,False
main_3s,control_isotropic,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,1,1,1.0,False
main_5s,alpha_0.00,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.05,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.10,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.15,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.20,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.25,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,alpha_0.30,1000,999,0.999,0.9943572970398398,0.9998234581709429,1,1,0,0,0,1.0,False
main_5s,control_shuffled,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,1,1,1.0,False
main_5s,control_isotropic,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,1,1,1.0,False
main_10s,alpha_0.00,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.05,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.10,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.15,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.20,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.25,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,alpha_0.30,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,control_shuffled,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
main_10s,control_isotropic,1000,1000,1.0,0.9961731014136095,1.0,0,0,0,0,0,1.0,False
ablation_1s,alpha_0.00,632,619,0.9794303797468354,0.9651271744250034,0.9879403820230177,13,9,0,0,0,1.0,False
ablation_1s,alpha_0.05,632,619,0.9794303797468354,0.9651271744250034,0.9879403820230177,13,9,0,0,0,1.0,False
ablation_1s,alpha_0.10,632,618,0.9778481012658228,0.9631624725161312,0.9867596464518633,14,10,1,0,-1,1.0,False
ablation_1s,alpha_0.15,632,618,0.9778481012658228,0.9631624725161312,0.9867596464518633,14,10,1,0,-1,1.0,False
ablation_1s,alpha_0.20,632,617,0.9762658227848101,0.9612116158525595,0.9855650656354086,15,11,2,0,-2,0.5,False
ablation_1s,alpha_0.25,632,617,0.9762658227848101,0.9612116158525595,0.9855650656354086,15,11,2,0,-2,0.5,False
ablation_1s,alpha_0.30,632,618,0.9778481012658228,0.9631624725161312,0.9867596464518633,14,11,3,2,-1,1.0,False
ablation_1s,control_shuffled,632,618,0.9778481012658228,0.9631624725161312,0.9867596464518633,14,10,1,0,-1,1.0,False
ablation_1s,control_isotropic,632,619,0.9794303797468354,0.9651271744250034,0.9879403820230177,13,9,0,0,0,1.0,False
ablation_3s,alpha_0.00,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.05,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.10,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.15,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.20,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.25,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,alpha_0.30,632,631,0.9984177215189873,0.9910921646519768,0.999720641556362,1,1,1,0,-1,1.0,False
ablation_3s,control_shuffled,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_3s,control_isotropic,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.00,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.05,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.10,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.15,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.20,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.25,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,alpha_0.30,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,control_shuffled,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_5s,control_isotropic,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_10s,alpha_0.00,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
ablation_10s,alpha_0.05,632,632,1.0,0.9939582436883652,1.0,0,0,0,0,0,1.0,False
