ref_id,corpus,source_track_id,audio_path,duration_sec,samplerate,channels,raagas,taalas,artists,works,work_mbids,role,source_md5
carnatic_0_Dorakuna,carnatic,0_Dorakuna,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Dorakuna/Dorakuna.mp3.mp3,2062.256,44100,2,,,Sumitra Nitin,Dorakuna,07e471a8-b14f-47b4-a302-31d898fe3c3d,library_only,a88f156689111fca5bc23a25cf12d311
carnatic_1_Ganamuda_Panam,carnatic,1_Ganamuda_Panam,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Ganamuda Panam/Ganamuda Panam.mp3.mp3,1787.555,44100,2,,,Sumitra Nitin,,,library_only,2c5a8fc7bb3929ed11f74eb06a1ce6c4
carnatic_2_Chidambara_Natarajam,carnatic,2_Chidambara_Natarajam,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Chidambara Natarajam/Chidambara Natarajam.mp3.mp3,732.601,44100,2,,,Sumitra Nitin,,,library_only,66c65d37d6210dbb96c1b53405fa3f43
carnatic_3_Vandalum,carnatic,3_Vandalum,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Vandalum/Vandalum.mp3.mp3,337.263,44100,2,,,Sumitra Nitin,,,library_only,9a519fb94981b9598ec96c1a161b9676
carnatic_4_Thiruveragane_Saveri_Varnam,carnatic,4_Thiruveragane_Saveri_Varnam,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Thiruveragane Saveri Varnam/Thiruveragane Saveri Varnam.mp3.mp3,426.857,44100,2,,,Sumitra Nitin,,,library_only,dfccb5f6cff4c7a68f7dadb147179871
carnatic_5_Rama_Daya_Judave,carnatic,5_Rama_Daya_Judave,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Rama Daya Judave/Rama Daya Judave.mp3.mp3,224.361,44100,2,,,Sumitra Nitin,Rama Daya Joodava,ea41c115-c5f2-4160-b327-a35c0f099161,library_only,3a9bc00f0b87d8dead900ea3abb5870f
carnatic_6_Neene_Ballideno,carnatic,6_Neene_Ballideno,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Neene Ballideno/Neene Ballideno.mp3.mp3,804.96,44100,2,,,Salem Gayatri Venkatesan,Neene Ballidano,a18e6b7e-fc70-407a-9b3d-583868cf880c,library_only,c86122d13919fbaf669d9f14b1fe5aa3
carnatic_7_Paragu_Matada,carnatic,7_Paragu_Matada,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Paragu Matada/Paragu Matada.mp3.mp3,1400.204,44100,2,,,Salem Gayatri Venkatesan,Paraagu Maaadada,c9650d99-590f-4659-a5f9-36a07a101ac6,library_only,7a86dd48321cc5f140698ae1b71b3edc
carnatic_8_Palisomma_Muddu_Sarade,carnatic,8_Palisomma_Muddu_Sarade,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Palisomma Muddu Sarade/Palisomma Muddu Sarade.mp3.mp3,821.881,44100,2,,,Salem Gayatri Venkatesan,Palisemma muddu sharade,d68502a6-bd32-426d-9dc2-14678fd62173,library_only,f5e8bef0f7cda8b0eba1c1ee86e7cd0a
carnatic_9_Ramakrishnaru_Manege,carnatic,9_Ramakrishnaru_Manege,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_carnatic/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Ramakrishnaru Manege/Ramakrishnaru Manege.mp3.mp3,299.102,44100,2,,,Salem Gayatri Venkatesan,Ramakrishnaru Managae,0c23891d-de7a-4f2c-aecf-d34a902fc745,library_only,e27e77779f313f27f57be319c342b90e
