ref_id,corpus,source_track_id,audio_path,duration_sec,samplerate,channels,raagas,taalas,artists,works,work_mbids,role,source_md5
hindustani_0_Raag_Shree,hindustani,0_Raag_Shree,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Shree by Deborshee Bhattacharya/Raag Shree/Raag Shree.mp3.mp3,3053.563,44100,2,Śrī,ēktāl; Tīntāl,Deborshee Bhattacharya,Kariye Kam Kachu; Chatur Sujaan,767845e5-76a6-42a8-bec3-cc90f681d5d5; c2642ccb-67f7-42c2-bb19-357a55f52649,library_and_test_source,761aaf231aee64e11d38f0b2d8f4f911
hindustani_1_Nirgun_Bhajan,hindustani,1_Nirgun_Bhajan,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Nirgun Bhajan/Nirgun Bhajan.mp3.mp3,787.789,44100,2,Miśra kaliṅgaḍā,,Kumar Gandharva,,,library_and_test_source,6affb9236b82c98ddb39ca776efeb370
hindustani_2_Raag_Lagan_Gandhar,hindustani,2_Raag_Lagan_Gandhar,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Lagan Gandhar & Nirgun Bhajan by Kumar Gandharva/Raag Lagan Gandhar/Raag Lagan Gandhar.mp3.mp3,2953.862,44100,2,Lagan gāndhār,ēktāl; Tīntāl,Kumar Gandharva,,,library_and_test_source,7fdffa6451a511fc662e71c695603fef
hindustani_3_Raag_Dhani,hindustani,3_Raag_Dhani,"/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Dhani/Raag Dhani.mp3.mp3",848.314,44100,2,Dhanī,ēktāl; Tīntāl,Satyasheel Deshpande,Mori Kar Pakrat Gai Bangari Murak; Kan Kan Sur Tal,c4aa0530-b96c-464f-9adb-8eb12233d23f; 3c964a4a-b484-4bb7-a2e6-eb419c520a96,library_and_test_source,489a0cba7b3a978a82ff66b553bad5ac
hindustani_4_Raag_Bhimpalasi,hindustani,4_Raag_Bhimpalasi,"/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Bhimpalasi/Raag Bhimpalasi.mp3.mp3",1906.94,44100,2,Bhimapalās,ēktāl; Tīntāl; Tīntāl,Satyasheel Deshpande,Dim Ta Na Dir Na Ta Na; Bairiya Bairiya Sabana; E Biraha Bamana,21ae5dd1-ecf4-4b58-bb55-95b9cf5b3308; ac803756-8c9b-4ae3-9eed-2154e314ba71; d2055bb9-903a-4047-a22f-b1bb8e606e7f,library_and_test_source,f580ee1db9e82d320de3c7f8809d3e21
hindustani_5_Raag_Kalyan,hindustani,5_Raag_Kalyan,"/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Kalyan, Bhimpalasi & Dhani by Satyasheel Deshpande/Raag Kalyan/Raag Kalyan.mp3.mp3",2032.053,44100,2,Kalyāṇ,Jhūmrā; Tīntāl; Tīntāl,Satyasheel Deshpande,Dekho Ajab Khel Hein; Piyarwa Tum Hum Mile; Ban Re Baliya,1f932d3c-9168-4f6d-80ae-7dcc97b70390; 34eda658-dd29-487b-b236-35abceba192d; 9d8e2ca9-7c21-4f72-8eb9-7887958ea069,library_and_test_source,4189e6e714aff0458065617479a195a8
hindustani_6_Bhairavi_Bhajan,hindustani,6_Bhairavi_Bhajan,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Bageshree & Bhairavi Bhajan by Satyasheel Deshpande/Bhairavi Bhajan/Bhairavi Bhajan.mp3.mp3,898.801,44100,2,Bhairavi,Kēharvā; Rūpak,Satyasheel Deshpande,Kaise Tum Ko; Manwa Magan Huwa,04cb6bd8-4a84-4910-9201-8c8402c0ef66; b9100de6-216e-4b44-8b31-69d527f6ceaf,library_and_test_source,84a988fc5a6d94b799151a28036a068a
hindustani_7_Raag_Bageshree,hindustani,7_Raag_Bageshree,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Bageshree & Bhairavi Bhajan by Satyasheel Deshpande/Raag Bageshree/Raag Bageshree.mp3.mp3,2293.495,44100,2,Bāgēśrī,ēktāl; ēktāl; Tīntāl,Satyasheel Deshpande,Ta Na Dir Na; Laage Na Jiya; Sakhi Man Laage,13080113-d521-4014-a23e-0d60fb192b7e; 34d7e200-eaf7-4012-bbb0-73bf9a771ae6; 5ca381c2-f4d8-4d22-b115-d4e49bfe1789,library_and_test_source,469604cc4f539fd3c1f5998ccdab5958
hindustani_8_Raag_Kedar,hindustani,8_Raag_Kedar,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Kedar & Jog by Ajoy Chakrabarty/Raag Kedar/Raag Kedar.mp3.mp3,2727.008,48000,2,Kēdār,ēktāl; Jhaptāl; Jhūmrā; Tīntāl,Ajoy Chakrabarty,He Naveli Naar; Piya Ki Chhab Dekhi; Jaage Kaun Mahel Mein Soya Re; Ab Aa Milo,3de2366b-b7be-4ccd-9894-02ffc1d3f0b1; 4ab2e724-5f99-444d-b8c4-74d23a2c48b5; 75597f2f-0d2d-4cab-b6ca-6aea61b10db1; 9cfeff54-0e3c-4c14-8751-7c5435d2ecd5,library_and_test_source,ebc5c9887d0d82e459aeb9035b6bc8ba
hindustani_9_Raag_Jog,hindustani,9_Raag_Jog,/Users/prita/Desktop/Audio Fingerprinting/afp_bench/data/mirdata/saraga_hindustani/saraga1.5_hindustani/Raag Kedar & Jog by Ajoy Chakrabarty/Raag Jog/Raag Jog.mp3.mp3,3147.33,44100,2,Jōg,ēktāl; Jhaptāl; Tīntāl,Ajoy Chakrabarty,Tom Ta Na Na; Ei Maayee; Dhan Jovan Nadi Nav Sanyog,c31b2fc1-ce7f-42a1-8a29-6f0e8a4d2bfa; 3468cb09-0db0-4489-825c-d82d74e76367; 4df0ae94-c309-4f6d-b718-d316ab5daa2f,library_and_test_source,6dae3f43d3e1fdbcbda9c418450a230d
